,Special
〇,○
',
画,畫,划,劃
浒,滸
鹄,鵠
鹕,鶘
轷,軤
,hua
华,華
话,話
,画,畫
哗,嘩,譁
,划,劃,畫
桦,樺
铧,鏵
骅,驊
婳,嫿
,huai
怀,懷
坏,壞
,huan
还,還
欢,歡
唤,喚
环,環
换,換
缓,緩
痪,瘓
焕,煥
涣,渙
锾,鍰
缳,繯
奂,奐
,huang
黄,黃
谎,謊
鳇,鰉
锽,鍠
,hui
会,會
绘,繪
挥,揮
贿,賄
汇,彙,匯
毁,毀,譭,燬
回,迴
辉,煇,輝
讳,諱
诲,誨
秽,穢
翙,翽
烩,燴
诙,詼
袆,褘
翚,翬
荟,薈
晖,暉
,hun
浑,渾
荤,葷
阍,閽
诨,諢
珲,琿
馄,餛
,huo
货,貨
祸,禍
获,穫,獲
伙,夥
锪,鍃
鹱,鸌
镬,鑊
钬,鈥
,ji
鸡,雞
击,擊
剂,劑
绩,績
极,極
机,機
纪,紀
际,際
积,積
级,級
挤,擠
济,濟
记,記
计,計
继,繼
饥,饑,飢
几,幾
迹,蹟,跡
鲫,鯽
叽,嘰
讥,譏
辑,輯
齑,齏
蓟,薊
赍,賫
骥,驥
玑,璣
缉,緝
苟,茍
羁,羈
矶,磯
虮,蟣
鹡,鶺
跻,躋
霁,霽
觊,覬
鱾,魢
鲚,鱭
,jia
驾,駕
夹,夾
价,價
家,傢
贾,賈
颊,頰
荚,莢
钾,鉀
浃,浹
饸,餄
镓,鎵
槚,檟
郏,郟
蛱,蛺
铗,鋏
,jian
间,間
茧,繭
舰,艦
渐,漸
键,鍵
剑,劍
减,減
坚,堅
监,監
捡,撿
艰,艱
拣,揀
践,踐
见,見
简,簡
贱,賤
歼,殲
检,檢
俭,儉
,鉴,鑒,鑑
荐,薦
奸,姦
,碱,鹼
溅,濺
涧,澗
戋,戔
缄,緘
饯,餞
鹣,鶼
,硷,鹼
谫,譾
裥,襇
枧,梘
笺,箋
谏,諫
锏,鐧
鲣,鰹
鞯,韉
笕,筧
戬,戩
槛,檻
缣,縑
睑,瞼
,jiang
酱,醬
浆,漿
将,將
桨,槳
奖,獎
讲,講
姜,薑
僵,殭
缰,韁
蒋,蔣
鳉,鱂
绛,絳
,jiao
轿,轎
搅,攪
较,較
骄,驕
娇,嬌
缴,繳
脚,腳
浇,澆
绞,絞
胶,膠
饺,餃
矫,矯
侥,僥
剿,勦
铰,鉸
鹪,鷦
鲛,鮫
峤,嶠
挢,撟
,jie
结,結
洁,潔
阶,階
节,節
届,屆
借,藉
杰,傑
诫,誡
讦,訐
疖,癤
栉,櫛
颉,頡
诘,詰
,jin
劲,勁
进,進
晋,晉
锦,錦
紧,緊
仅,僅
谨,謹
筋,觔
尽,盡,儘
琎,璡
荩,藎
馑,饉
烬,燼
缙,縉
觐,覲
赆,贐
,jing
茎,莖
竞,競
镜,鏡
经,經
净,淨
颈,頸
惊,驚
静,靜
径,逕,徑
鲸,鯨
荆,荊
靓,靚
痉,痙
泾,涇
胫,脛
烃,烴
刭,剄
,jiu
纠,糾
旧,舊
鸠,鳩
阄,鬮
厩,廄
鹫,鷲
,ju
举,舉
锯,鋸
惧,懼
剧,劇
据,據
局,侷,跼
具,俱
巨,鉅
驹,駒
锔,鋦
龃,齟
屦,屨
讵,詎
飓,颶
榉,櫸
窭,窶
,juan
绢,絹
,卷,捲
鹃,鵑
镌,鐫
锩,錈
,jue
觉,覺
绝,絕
决,決
诀,訣
谲,譎
镢,鐝
珏,玨
,jun
军,軍
骏,駿
钧,鈞
隽,雋
皲,皸
鲪,鮶
浚,濬
,kai
凯,凱
开,開
锎,鐦
忾,愾
闿,闓
垲,塏
铠,鎧
剀,剴
锴,鍇
恺,愷
,kan
阚,闞
龛,龕
,kang
扛,摃
闶,閌
钪,鈧
,kao
铐,銬
,ke
壳,殼
颗,顆
课,課
克,剋
轲,軻
缂,緙
骒,騍
,ken
垦,墾
恳,懇
龈,齦
,keng
铿,鏗
硁,硜
,kou
扣,釦
抠,摳
,ku
